"","Country","Region","HR","HS","LCI","UCI","GPC","LE","GC"
"62","NORTH CYPRUS","WESTERN EUROPE",62,99,5.67,5.872,127,0.84142,0.16578
"63","SLOVENIA","CENTRAL AND EASTERN EUROPE",63,98,5.683,5.853,124,0.79151,0.03635
"64","PERU","LATIN AMERICA AND CARIBBEAN",64,97,5.647,5.839,75,0.62994,0.05292
"65","TURKMENISTAN","CENTRAL AND EASTERN EUROPE",65,96,5.58,5.736,94,0.44006,0.28467
"66","MAURITIUS","SUB-SAHARAN  AFRICA",66,95,5.507,5.789,105,0.66189,0.05203
"67","LIBYA","MIDDLE EAST AND NORTHERN  AFRICA",67,94,5.406,5.824,80,0.52304,0.10339
"68","LATVIA","CENTRAL AND EASTERN EUROPE",68,93,5.486,5.634,113,0.63952,0.0889
"69","CYPRUS","WESTERN EUROPE",69,92,5.442,5.65,128,0.8488,0.05228
"70","PARAGUAY","LATIN AMERICA AND CARIBBEAN",70,91,5.623,6.453,66,0.58295,0.07396
"71","ROMANIA","CENTRAL AND EASTERN EUROPE",71,90,5.427,5.629,109,0.67602,0.00679
"72","ESTONIA","CENTRAL AND EASTERN EUROPE",72,58,5.437,5.597,122,0.68098,0.18519
"73","JAMAICA","LATIN AMERICA AND CARIBBEAN",73,89,5.315,5.705,12,0.59469,0.04294
"74","CROATIA","CENTRAL AND EASTERN EUROPE",74,88,5.402,5.574,112,0.70524,0.04002
"75","HONG KONG","EASTERN ASIA",75,87,5.362,5.554,150,0.95277,0.31647
"76","SOMALIA","SUB-SAHARAN AFRICA",76,86,5.321,5.559,1,0.11466,0.3118
"77","KOSOVO","CENTRAL AND EASTERN EUROPE",77,85,5.308,5.494,67,0.54,0.06547
"78","TURKEY","MIDDLE EAST AND NORTHERN  AFRICA",78,84,5.295,5.483,108,0.64718,0.12348
"79","INDONESIA","SOUTHEASTERN ASIA",79,83,5.237,5.391,69,0.49374,0.00322
"80","JORDAN","MIDDLE EAST AND NORTHERN AFRICA",80,82,5.187,5.419,76,0.60712,0.13297
"81","AZERBAIJAN","CENTRAL AND EASTERN EUROPE",81,81,5.226,5.356,102,0.54504,0.17914
"82","PHILIPPINES","SOUTHEASTERN ASIA",82,80,5.16,5.398,58,0.47036,0.11757
"83","CHINA","EASTERN ASIA",83,79,5.199,5.291,89,0.73561,0.02745
"84","BHUTAN","SOUTHERN ASIA",84,78,5.138,5.254,62,0.49759,0.1616
"85","KYRGYZSTAN","CENTRAL AND EASTERN EUROPE",85,77,5.103,5.267,44,0.55449,0.04762
"86","SERBIA","CENTRAL AND EASTERN EUROPE",86,76,5.083,5.271,79,0.6458,0.04339
"88","MONTENEGRO","CENTRAL AND EASTERN EUROPE",88,74,5.267,6.055,93,0.63533,0.12721
"89","DOMINICAN REPUBLIC","LATIN AMERICA AND CARIBBEAN",89,73,5.037,5.273,77,0.57669,0.12372
"90","MOROCCO","MIDDLE EAST AND NORTHERN AFRICA",90,72,5.058,5.244,61,0.59471,0.08404
"91","HUNGARY","CENTRAL AND EASTERN EUROPE",91,71,5.056,5.234,116,0.67608,0.04472
"92","PAKISTAN","SOUTHERN ASIA",92,70,5.038,5.226,48,0.40306,0.1388
"93","LEBANON","MIDDLE EAST AND NORTHERN AFRICA",93,69,5.031,5.227,101,0.76171,0.03061
"94","PORTUGAL","WESTERN EUROPE",94,68,5.03,5.216,121,0.79363,0.01521
"95","MACEDONIA","CENTRAL AND EASTERN EUROPE",95,67,5.017,5.225,87,0.64738,0.07047
"96","VIETNAM","SOUTHEASTERN ASIA",96,66,4.991,5.131,54,0.66157,0.11556
"97","SOMALILAND REGION","SUB-SAHARAN AFRICA",97,65,4.934,5.18,19,0.33108,0.36794
"98","TUNISIA","MIDDLE EAST AND NORTHERN AFRICA",98,64,4.965,5.125,14,0.59577,0.0817
